fips SCC Pollutant Emissions type year
17113 223000111T PM25-PRI 0.0008329216 ON-ROAD 2002
17115 220107029X PM25-PRI 0.43 ON-ROAD 2002
17119 223007311X PM25-PRI 1.21 ON-ROAD 2002
17121 220102011B PM25-PRI 0.29 ON-ROAD 2002
17121 223006011T PM25-PRI 0.0006191721 ON-ROAD 2002
17121 223007111X PM25-PRI 0.24 ON-ROAD 2002
17121 223007421T PM25-PRI 0.01 ON-ROAD 2002
17121 223007511T PM25-PRI 0.0037874638 ON-ROAD 2002
17121 223007513X PM25-PRI 0.35 ON-ROAD 2002
17123 220108015X PM25-PRI 0.003048439 ON-ROAD 2002
17127 220104021X PM25-PRI 0.03 ON-ROAD 2002
17127 220107015T PM25-PRI 0.0022154783 ON-ROAD 2002
17127 223000131X PM25-PRI 0.0009368764 ON-ROAD 2002
17127 223007115B PM25-PRI 0.0013472616 ON-ROAD 2002
17131 223007117B PM25-PRI 0.0019759052 ON-ROAD 2002
17131 223007233X PM25-PRI 0.0014401393 ON-ROAD 2002
17133 220100129T PM25-PRI 0.02 ON-ROAD 2002
17133 220104013X PM25-PRI 0.05 ON-ROAD 2002
17135 220108033B PM25-PRI 0.0004077997 ON-ROAD 2002
17135 223007429X PM25-PRI 0.42 ON-ROAD 2002
17137 223007213X PM25-PRI 0.03 ON-ROAD 2002
17139 223007319T PM25-PRI 0.0001577131 ON-ROAD 2002
17141 223007333T PM25-PRI 0.0007703803 ON-ROAD 2002
17141 223007511B PM25-PRI 0.0067606264 ON-ROAD 2002
17143 220107013X PM25-PRI 0.23 ON-ROAD 2002
17147 223007319X PM25-PRI 0.01 ON-ROAD 2002
17149 220102011T PM25-PRI 0.11 ON-ROAD 2002
17151 223007217T PM25-PRI 0.0003607024 ON-ROAD 2002
17155 223007213B PM25-PRI 0.0004698346 ON-ROAD 2002
17155 223007513T PM25-PRI 0.0003287972 ON-ROAD 2002
17157 223007317T PM25-PRI 0.0025663914 ON-ROAD 2002
17159 220108031T PM25-PRI 3.88025e-05 ON-ROAD 2002
17159 223007533X PM25-PRI 0.04 ON-ROAD 2002
17163 220107015T PM25-PRI 0.0069953173 ON-ROAD 2002
17163 223007323T PM25-PRI 0.03 ON-ROAD 2002
17165 220104013T PM25-PRI 0.0096421643 ON-ROAD 2002
17167 220108019T PM25-PRI 6.07431e-05 ON-ROAD 2002
17167 223007121T PM25-PRI 0.0014555922 ON-ROAD 2002
17171 220102021B PM25-PRI 0.01 ON-ROAD 2002
17171 220104011T PM25-PRI 0.01 ON-ROAD 2002
17171 223007219T PM25-PRI 1.68615e-05 ON-ROAD 2002
17173 220107017T PM25-PRI 0.0052203411 ON-ROAD 2002
17177 220102015T PM25-PRI 0.04 ON-ROAD 2002
17177 220108029T PM25-PRI 0.0002223428 ON-ROAD 2002
17179 223007429B PM25-PRI 0.05 ON-ROAD 2002
17181 220108017B PM25-PRI 0.0014699918 ON-ROAD 2002
17181 223007217T PM25-PRI 0.0007647155 ON-ROAD 2002
17185 220102015X PM25-PRI 0.04 ON-ROAD 2002
17185 223007217B PM25-PRI 0.0006480072 ON-ROAD 2002
17189 220102019T PM25-PRI 0.0027187024 ON-ROAD 2002
17193 220107013T PM25-PRI 0.0022890043 ON-ROAD 2002
17193 223007221B PM25-PRI 0.0007579685 ON-ROAD 2002
17195 220107013B PM25-PRI 0.01 ON-ROAD 2002
17197 220100119X PM25-PRI 0.03 ON-ROAD 2002
17197 220100127T PM25-PRI 0.99 ON-ROAD 2002
17197 223006021X PM25-PRI 0.02 ON-ROAD 2002
17197 223007231T PM25-PRI 0.0070573349 ON-ROAD 2002
17199 220102021B PM25-PRI 0.13 ON-ROAD 2002
17201 220104029T PM25-PRI 0.12 ON-ROAD 2002
17203 220107013X PM25-PRI 0.17 ON-ROAD 2002
18001 220107033X PM25-PRI 0.05 ON-ROAD 2002
18001 223006019B PM25-PRI 0.0002109647 ON-ROAD 2002
18003 223007427X PM25-PRI 6.46 ON-ROAD 2002
18005 223007423X PM25-PRI 0.14 ON-ROAD 2002
18009 220107033T PM25-PRI 0.0008790775 ON-ROAD 2002
18011 220108015X PM25-PRI 0.0036382021 ON-ROAD 2002
18011 223007311X PM25-PRI 1.69 ON-ROAD 2002
18015 220108017X PM25-PRI 0.0068831758 ON-ROAD 2002
18017 223006025X PM25-PRI 0.0059118314 ON-ROAD 2002
18019 220104011B PM25-PRI 0.05 ON-ROAD 2002
18021 223007331T PM25-PRI 0.0002635164 ON-ROAD 2002
18023 223007127T PM25-PRI 0.0008878143 ON-ROAD 2002
18023 223007411T PM25-PRI 0.17 ON-ROAD 2002
18027 220104019X PM25-PRI 0.03 ON-ROAD 2002
18027 223007429T PM25-PRI 0.0063821347 ON-ROAD 2002
18029 220100133B PM25-PRI 0.08 ON-ROAD 2002
18029 220104019T PM25-PRI 0.0078333494 ON-ROAD 2002
18031 223007115X PM25-PRI 0.04 ON-ROAD 2002
18035 220102013X PM25-PRI 0.3 ON-ROAD 2002
18035 223007429X PM25-PRI 2.08 ON-ROAD 2002
18037 223007513X PM25-PRI 0.17 ON-ROAD 2002
18039 220108019X PM25-PRI 0.0038388115 ON-ROAD 2002
18039 223007233X PM25-PRI 0.17 ON-ROAD 2002
18041 220104031X PM25-PRI 0.01 ON-ROAD 2002
18041 220107029B PM25-PRI 0.0067512356 ON-ROAD 2002
18041 223007133X PM25-PRI 0.04 ON-ROAD 2002
18041 223007417X PM25-PRI 0.96 ON-ROAD 2002
18043 220107019X PM25-PRI 0.05 ON-ROAD 2002
18043 223007531T PM25-PRI 0.0001057307 ON-ROAD 2002
18045 220104021B PM25-PRI 0.01 ON-ROAD 2002
18045 220107033B PM25-PRI 0.0018563109 ON-ROAD 2002
18047 220104017X PM25-PRI 0.15 ON-ROAD 2002
18047 223007513T PM25-PRI 0.0004971681 ON-ROAD 2002
18051 223007319B PM25-PRI 0.0028346472 ON-ROAD 2002
18051 223007433B PM25-PRI 0.0035274687 ON-ROAD 2002
18053 223000113B PM25-PRI 0.0004429942 ON-ROAD 2002
18055 220100121B PM25-PRI 0.13 ON-ROAD 2002
18055 223007519B PM25-PRI 0.0006782969 ON-ROAD 2002
18057 223007219T PM25-PRI 0.0009372938 ON-ROAD 2002
18061 223007221B PM25-PRI 0.0028266477 ON-ROAD 2002
18065 220100117B PM25-PRI 0.45 ON-ROAD 2002
18073 220102017T PM25-PRI 0.06 ON-ROAD 2002
18073 220102033X PM25-PRI 0.07 ON-ROAD 2002
18073 220104019B PM25-PRI 0.01 ON-ROAD 2002
18073 223000119X PM25-PRI 0.0061194337 ON-ROAD 2002
18073 223007329B PM25-PRI 0.0020726262 ON-ROAD 2002
18075 220108013T PM25-PRI 0.0002035059 ON-ROAD 2002
18075 220108013X PM25-PRI 0.0031021345 ON-ROAD 2002
18081 220107023X PM25-PRI 0.59 ON-ROAD 2002
18081 223007323B PM25-PRI 0.02 ON-ROAD 2002
18083 223007119X PM25-PRI 0.02 ON-ROAD 2002
18085 220100133B PM25-PRI 0.24 ON-ROAD 2002
18085 220104021X PM25-PRI 0.1 ON-ROAD 2002
18085 220108013T PM25-PRI 0.0006534018 ON-ROAD 2002
18089 220104015X PM25-PRI 0.05 ON-ROAD 2002
18093 220107033T PM25-PRI 0.0025420065 ON-ROAD 2002
18093 220108017B PM25-PRI 0.0038632891 ON-ROAD 2002
18103 220104033B PM25-PRI 0.01 ON-ROAD 2002
18103 223000131X PM25-PRI 0.0031686523 ON-ROAD 2002
18103 223007233T PM25-PRI 0.0005792375 ON-ROAD 2002
18103 223007315B PM25-PRI 0.0049966464 ON-ROAD 2002
18103 223007527X PM25-PRI 0.07 ON-ROAD 2002
18105 220100119T PM25-PRI 0.04 ON-ROAD 2002
18105 223000117B PM25-PRI 0.0010175941 ON-ROAD 2002
18107 223007411T PM25-PRI 0.36 ON-ROAD 2002
18111 220104017T PM25-PRI 0.01 ON-ROAD 2002
18111 223006015X PM25-PRI 0.0097852049 ON-ROAD 2002
18113 223007521X PM25-PRI 0.21 ON-ROAD 2002
18115 223000117B PM25-PRI 0.0002091591 ON-ROAD 2002
18115 223006017X PM25-PRI 0.01 ON-ROAD 2002
18117 223007515B PM25-PRI 0.0004304692 ON-ROAD 2002
18123 220104019T PM25-PRI 0.0025861318 ON-ROAD 2002
18123 223000127X PM25-PRI 0.007417527 ON-ROAD 2002
18125 220107033T PM25-PRI 0.0003326299 ON-ROAD 2002
18129 220104019T PM25-PRI 0.0049103657 ON-ROAD 2002
18129 223007429X PM25-PRI 0.21 ON-ROAD 2002
18131 220102033B PM25-PRI 0.0067287307 ON-ROAD 2002
18131 223000119T PM25-PRI 3.3105e-05 ON-ROAD 2002
18133 223007221T PM25-PRI 0.0013551912 ON-ROAD 2002
18135 220108015T PM25-PRI 0.000190277 ON-ROAD 2002
18135 223006017B PM25-PRI 0.0008838157 ON-ROAD 2002
18137 220102013X PM25-PRI 0.24 ON-ROAD 2002
18137 220104021X PM25-PRI 0.05 ON-ROAD 2002
18139 220108027T PM25-PRI 6.92272e-05 ON-ROAD 2002
18141 223007227T PM25-PRI 0.01 ON-ROAD 2002
18141 223007423X PM25-PRI 4.3 ON-ROAD 2002
18143 220100117X PM25-PRI 0.37 ON-ROAD 2002
18143 220102023B PM25-PRI 0.02 ON-ROAD 2002
18143 223007119T PM25-PRI 0.0002770562 ON-ROAD 2002
18145 223007329X PM25-PRI 0.2 ON-ROAD 2002
18147 220104011X PM25-PRI 0.1 ON-ROAD 2002
18149 220108013T PM25-PRI 0.0002656822 ON-ROAD 2002
18149 223000115T PM25-PRI 8.76179e-05 ON-ROAD 2002
18151 223007217X PM25-PRI 0.19 ON-ROAD 2002
18155 223007315T PM25-PRI 0.0015037294 ON-ROAD 2002
18159 223007413X PM25-PRI 1.34 ON-ROAD 2002
18163 223007415T PM25-PRI 0.02 ON-ROAD 2002
18163 223007417B PM25-PRI 0.02 ON-ROAD 2002
18165 223007413T PM25-PRI 0.02 ON-ROAD 2002
18167 223007233B PM25-PRI 0.0045971984 ON-ROAD 2002
18169 223007221B PM25-PRI 0.0015194628 ON-ROAD 2002
18173 223007213B PM25-PRI 0.0028066546 ON-ROAD 2002
18175 223007415X PM25-PRI 1.8 ON-ROAD 2002
18179 220102031X PM25-PRI 0.02 ON-ROAD 2002
18179 223007229X PM25-PRI 0.02 ON-ROAD 2002
18181 223007217T PM25-PRI 0.0028644491 ON-ROAD 2002
18183 220107013T PM25-PRI 0.0072582393 ON-ROAD 2002
18183 223000117X PM25-PRI 0.03 ON-ROAD 2002
19001 223007417T PM25-PRI 0.01 ON-ROAD 2002
19007 220100117X PM25-PRI 0.13 ON-ROAD 2002
19007 220100127B PM25-PRI 0.04 ON-ROAD 2002
19011 223007119B PM25-PRI 0.0004555006 ON-ROAD 2002
19015 223006013X PM25-PRI 0.03 ON-ROAD 2002
19015 223006015B PM25-PRI 0.0003706416 ON-ROAD 2002
19017 220100121X PM25-PRI 0.07 ON-ROAD 2002
19019 220100131B PM25-PRI 0.0034832145 ON-ROAD 2002
19019 223007313X PM25-PRI 0.48 ON-ROAD 2002
19021 223000131T PM25-PRI 2.8684945e-06 ON-ROAD 2002
19025 220107015X PM25-PRI 0.1 ON-ROAD 2002
19025 220108013T PM25-PRI 0.0001304158 ON-ROAD 2002
19025 223000115X PM25-PRI 0.0045767326 ON-ROAD 2002
19031 220107017B PM25-PRI 0.01 ON-ROAD 2002
19035 223007527X PM25-PRI 0.02 ON-ROAD 2002
19037 223007121T PM25-PRI 0.0003850072 ON-ROAD 2002
19043 223007319T PM25-PRI 0.0005437905 ON-ROAD 2002
19051 223006015B PM25-PRI 8.75273e-05 ON-ROAD 2002
19055 223007121T PM25-PRI 0.0003638393 ON-ROAD 2002
19057 223007133X PM25-PRI 0.05 ON-ROAD 2002
19063 223000117X PM25-PRI 0.0018373778 ON-ROAD 2002
19065 220100129T PM25-PRI 0.0061997318 ON-ROAD 2002
19065 223007515T PM25-PRI 0.000123339 ON-ROAD 2002
19067 223007529B PM25-PRI 0.0001416488 ON-ROAD 2002
19067 223007531B PM25-PRI 2.426e-05 ON-ROAD 2002
19071 220102015X PM25-PRI 0.13 ON-ROAD 2002
19071 223007317T PM25-PRI 0.001019708 ON-ROAD 2002
19077 223007121T PM25-PRI 0.0002977899 ON-ROAD 2002
19077 223007217T PM25-PRI 0.0004501623 ON-ROAD 2002
19077 223007521B PM25-PRI 0.0002027774 ON-ROAD 2002
19081 220107013X PM25-PRI 0.1 ON-ROAD 2002
19083 220102019X PM25-PRI 0.02 ON-ROAD 2002
19085 220100115B PM25-PRI 0.05 ON-ROAD 2002
19085 220107015X PM25-PRI 0.05 ON-ROAD 2002
19087 220102021T PM25-PRI 0.0082063015 ON-ROAD 2002
19093 223007419T PM25-PRI 0.0010920861 ON-ROAD 2002
19095 220107019B PM25-PRI 0.0013150998 ON-ROAD 2002
19093 223007519X PM25-PRI 0.0050586191 ON-ROAD 2002
19095 223007511B PM25-PRI 0.0034566471 ON-ROAD 2002
19099 223007127B PM25-PRI 0.0010861658 ON-ROAD 2002
19101 223007317T PM25-PRI 0.0012259852 ON-ROAD 2002
19101 223007515X PM25-PRI 0.01 ON-ROAD 2002
19103 223000113X PM25-PRI 0.01 ON-ROAD 2002
19105 220104033T PM25-PRI 0.0014346924 ON-ROAD 2002
19105 223007431B PM25-PRI 0.0005780639 ON-ROAD 2002
19107 220107015T PM25-PRI 0.005482313 ON-ROAD 2002
19109 220104013B PM25-PRI 0.03 ON-ROAD 2002
19111 220100113T PM25-PRI 0.11 ON-ROAD 2002
19111 220108021X PM25-PRI 0.00110694 ON-ROAD 2002
19111 223007229B PM25-PRI 0.0006463422 ON-ROAD 2002
19119 223007415X PM25-PRI 1.11 ON-ROAD 2002
19119 223007419X PM25-PRI 0.24 ON-ROAD 2002
19121 220100119B PM25-PRI 0.02 ON-ROAD 2002
19121 220104015B PM25-PRI 0.01 ON-ROAD 2002
19125 223007121X PM25-PRI 0.02 ON-ROAD 2002
19137 220107019X PM25-PRI 0.00932537 ON-ROAD 2002
19137 223000133T PM25-PRI 5.7373394e-06 ON-ROAD 2002
19139 223007317B PM25-PRI 0.0038805508 ON-ROAD 2002
19141 223007329X PM25-PRI 0.01 ON-ROAD 2002
19149 223000127T PM25-PRI 1.39035e-05 ON-ROAD 2002
19149 223007231B PM25-PRI 6.0214e-05 ON-ROAD 2002
19149 223007431T PM25-PRI 0.0007984166 ON-ROAD 2002
19153 223007233T PM25-PRI 0.0099447165 ON-ROAD 2002
19155 220102031T PM25-PRI 0.01 ON-ROAD 2002
19155 223007533X PM25-PRI 0.2 ON-ROAD 2002
19157 220102011T PM25-PRI 0.15 ON-ROAD 2002
19157 220104017X PM25-PRI 0.04 ON-ROAD 2002
19157 220107015X PM25-PRI 0.12 ON-ROAD 2002
19163 223006031T PM25-PRI 0.0002339119 ON-ROAD 2002
19163 223007417B PM25-PRI 0.02 ON-ROAD 2002
19169 223006017B PM25-PRI 0.0005498997 ON-ROAD 2002
19171 220108017T PM25-PRI 0.000202624 ON-ROAD 2002
19175 223007521B PM25-PRI 0.0001085152 ON-ROAD 2002
19177 223007317T PM25-PRI 0.0009456423 ON-ROAD 2002
19181 223007215B PM25-PRI 0.0006411793 ON-ROAD 2002
19183 223000131T PM25-PRI 1.986197e-06 ON-ROAD 2002
19183 223007229B PM25-PRI 0.0002375631 ON-ROAD 2002
19187 220100113B PM25-PRI 0.24 ON-ROAD 2002
19191 220107015X PM25-PRI 0.08 ON-ROAD 2002
19193 220104015B PM25-PRI 0.02 ON-ROAD 2002
19193 223000121T PM25-PRI 2.09651e-05 ON-ROAD 2002
20003 220108013B PM25-PRI 0.0007132226 ON-ROAD 2002
20005 223007533T PM25-PRI 3.54648e-05 ON-ROAD 2002
20007 220100115T PM25-PRI 0.01 ON-ROAD 2002
20009 223007429X PM25-PRI 0.2 ON-ROAD 2002
20011 220107013B PM25-PRI 0.0091377494 ON-ROAD 2002
20015 223006015B PM25-PRI 0.0006299535 ON-ROAD 2002
20015 223007413T PM25-PRI 0.11 ON-ROAD 2002
20019 223007417B PM25-PRI 0.0031435625 ON-ROAD 2002
20021 223007413B PM25-PRI 0.02 ON-ROAD 2002
20021 223007433T PM25-PRI 0.0017153289 ON-ROAD 2002
20023 220104015B PM25-PRI 0.0045704333 ON-ROAD 2002
20035 223006033B PM25-PRI 0.0001416199 ON-ROAD 2002
20035 223007527T PM25-PRI 0.0001899179 ON-ROAD 2002
20039 220102017X PM25-PRI 0.03 ON-ROAD 2002
20041 223000133B PM25-PRI 3.1139e-05 ON-ROAD 2002
20041 223007127T PM25-PRI 0.0001877899 ON-ROAD 2002
20041 223007421X PM25-PRI 0.46 ON-ROAD 2002
20041 223007431T PM25-PRI 0.000703394 ON-ROAD 2002
20043 220100129T PM25-PRI 0.0062914481 ON-ROAD 2002
20049 220107015B PM25-PRI 0.0017411674 ON-ROAD 2002
20051 220102013T PM25-PRI 0.02 ON-ROAD 2002
20055 220100133X PM25-PRI 0.14 ON-ROAD 2002
20055 223007529T PM25-PRI 0.0001544531 ON-ROAD 2002
20059 220108029T PM25-PRI 3.75899e-05 ON-ROAD 2002
20059 223000119X PM25-PRI 0.0010838103 ON-ROAD 2002
20061 220100115T PM25-PRI 0.01 ON-ROAD 2002
20061 223006027X PM25-PRI 0.01 ON-ROAD 2002
20067 223007115B PM25-PRI 0.0002158206 ON-ROAD 2002
20071 223007415X PM25-PRI 0.14 ON-ROAD 2002
20073 220102015X PM25-PRI 0.03 ON-ROAD 2002
20075 220100121B PM25-PRI 0.01 ON-ROAD 2002
20081 223007517T PM25-PRI 0.0002011876 ON-ROAD 2002
20095 223007215T PM25-PRI 0.0004192199 ON-ROAD 2002
20095 223007317T PM25-PRI 0.0012755911 ON-ROAD 2002
20101 220104015B PM25-PRI 0.0029249128 ON-ROAD 2002
20101 223006017X PM25-PRI 0.0020484505 ON-ROAD 2002
20103 223007427B PM25-PRI 0.01 ON-ROAD 2002
20107 223007317B PM25-PRI 0.0041376089 ON-ROAD 2002
20111 223007417B PM25-PRI 0.0067603939 ON-ROAD 2002
20113 223000111X PM25-PRI 0.03 ON-ROAD 2002
20113 223007219X PM25-PRI 0.0060077823 ON-ROAD 2002
20121 223006019T PM25-PRI 1.67405e-05 ON-ROAD 2002
20121 223007117X PM25-PRI 0.08 ON-ROAD 2002
20123 220100113B PM25-PRI 0.07 ON-ROAD 2002
20123 223007121X PM25-PRI 0.0099176941 ON-ROAD 2002
20129 223000121T PM25-PRI 1.52283e-05 ON-ROAD 2002
20131 220100117T PM25-PRI 0.04 ON-ROAD 2002
20133 223000129X PM25-PRI 0.0024331651 ON-ROAD 2002
20137 220108033T PM25-PRI 8.2675792e-06 ON-ROAD 2002
20137 223006017X PM25-PRI 0.0022770489 ON-ROAD 2002
20143 223006013B PM25-PRI 0.0003255549 ON-ROAD 2002
20143 223007413T PM25-PRI 0.02 ON-ROAD 2002
20145 220107033B PM25-PRI 0.0005964406 ON-ROAD 2002
20145 223007513B PM25-PRI 0.00018499 ON-ROAD 2002
20149 223006033T PM25-PRI 9.4715265e-06 ON-ROAD 2002
20151 223007131T PM25-PRI 5.15761e-05 ON-ROAD 2002
20151 223007521X PM25-PRI 0.02 ON-ROAD 2002
20153 220104019X PM25-PRI 0.0012427261 ON-ROAD 2002
20155 220108025X PM25-PRI 0.0013920347 ON-ROAD 2002
20155 223007127B PM25-PRI 0.0032784737 ON-ROAD 2002
20157 220102013B PM25-PRI 0.05 ON-ROAD 2002
20163 223007213T PM25-PRI 0.0009568001 ON-ROAD 2002
20165 223007521B PM25-PRI 0.0001685465 ON-ROAD 2002
20169 220102015B PM25-PRI 0.03 ON-ROAD 2002
20171 223007219B PM25-PRI 2.2933e-05 ON-ROAD 2002
20173 223006017T PM25-PRI 0.0004409805 ON-ROAD 2002
20175 223007515T PM25-PRI 7.15923e-05 ON-ROAD 2002
20179 223007119B PM25-PRI 4.11647e-05 ON-ROAD 2002
20183 223007421B PM25-PRI 0.0018901353 ON-ROAD 2002
20187 223007117X PM25-PRI 0.01 ON-ROAD 2002
20189 220107033X PM25-PRI 0.0057972609 ON-ROAD 2002
20191 220104011T PM25-PRI 0.02 ON-ROAD 2002
20193 220100129X PM25-PRI 0.03 ON-ROAD 2002
20193 223007211T PM25-PRI 0.0046560522 ON-ROAD 2002
20195 220102015X PM25-PRI 0.02 ON-ROAD 2002
20195 223007411T PM25-PRI 0.24 ON-ROAD 2002
20195 223007515T PM25-PRI 6.72834e-05 ON-ROAD 2002
20199 223007119T PM25-PRI 9.9184808e-06 ON-ROAD 2002
20201 223007115B PM25-PRI 0.0008215296 ON-ROAD 2002
20201 223007519X PM25-PRI 0.0082671884 ON-ROAD 2002
20203 223007317T PM25-PRI 0.0006030788 ON-ROAD 2002
20205 220102017T PM25-PRI 0.01 ON-ROAD 2002
20207 223007221B PM25-PRI 0.0003880981 ON-ROAD 2002
20209 220104025B PM25-PRI 0.07 ON-ROAD 2002
21001 223007117T PM25-PRI 0.0006993631 ON-ROAD 2002
21013 223006017T PM25-PRI 0.0001856874 ON-ROAD 2002
21015 223007321T PM25-PRI 0.002703605 ON-ROAD 2002
21017 223006027X PM25-PRI 0.01 ON-ROAD 2002
21017 223007119X PM25-PRI 0.01 ON-ROAD 2002
21021 220108019B PM25-PRI 0.0003307187 ON-ROAD 2002
21021 223007133B PM25-PRI 0.0007244986 ON-ROAD 2002
21029 220107027B PM25-PRI 0.01 ON-ROAD 2002
21033 220102021T PM25-PRI 0.0067163407 ON-ROAD 2002
21035 220107031T PM25-PRI 0.0010797791 ON-ROAD 2002
21039 220107019T PM25-PRI 0.0005997419 ON-ROAD 2002
21047 223006021T PM25-PRI 0.0001077121 ON-ROAD 2002
21051 223006017X PM25-PRI 0.01 ON-ROAD 2002
21053 223007517T PM25-PRI 0.0004000541 ON-ROAD 2002
21055 223000133B PM25-PRI 1.70383e-05 ON-ROAD 2002
21055 223006019X PM25-PRI 0.0024403585 ON-ROAD 2002
21059 220107027T PM25-PRI 0.01 ON-ROAD 2002
21061 223007121B PM25-PRI 0.0009632538 ON-ROAD 2002
21061 223007121X PM25-PRI 0.02 ON-ROAD 2002
21067 223007329T PM25-PRI 0.02 ON-ROAD 2002
21069 220104013B PM25-PRI 0.02 ON-ROAD 2002
21073 223007517B PM25-PRI 0.0009443308 ON-ROAD 2002
21077 220108015B PM25-PRI 0.0003366034 ON-ROAD 2002
21079 223007117X PM25-PRI 0.05 ON-ROAD 2002
21083 220100121X PM25-PRI 0.27 ON-ROAD 2002
21083 220107021B PM25-PRI 0.0091705604 ON-ROAD 2002
21083 223007425X PM25-PRI 0.17 ON-ROAD 2002
21085 220100119B PM25-PRI 0.08 ON-ROAD 2002
21087 223007515X PM25-PRI 0.04 ON-ROAD 2002
21095 220107021X PM25-PRI 0.08 ON-ROAD 2002
21095 223007415X PM25-PRI 1.06 ON-ROAD 2002
21101 223007131X PM25-PRI 0.03 ON-ROAD 2002
21105 220108019B PM25-PRI 0.0001659478 ON-ROAD 2002
21105 223007217B PM25-PRI 0.000836175 ON-ROAD 2002
21107 223007333T PM25-PRI 0.0009634713 ON-ROAD 2002
21111 220108027B PM25-PRI 0.01 ON-ROAD 2002
21111 223006013T PM25-PRI 2.53068e-05 ON-ROAD 2002
21119 223006017X PM25-PRI 0.01 ON-ROAD 2002
21121 220100131T PM25-PRI 0.01 ON-ROAD 2002
21125 223007233B PM25-PRI 0.0005062917 ON-ROAD 2002
21129 223007119B PM25-PRI 0.0004839792 ON-ROAD 2002
21131 220107015T PM25-PRI 0.0018313129 ON-ROAD 2002
21131 223007321T PM25-PRI 0.0014663678 ON-ROAD 2002
21137 220102013B PM25-PRI 0.11 ON-ROAD 2002
21137 220104015T PM25-PRI 0.006694049 ON-ROAD 2002
21137 223007313X PM25-PRI 0.56 ON-ROAD 2002
21139 223006017B PM25-PRI 0.0002550379 ON-ROAD 2002
21139 223007519T PM25-PRI 0.0001716888 ON-ROAD 2002
21145 223000117X PM25-PRI 0.01 ON-ROAD 2002
21151 223000115B PM25-PRI 0.0003178513 ON-ROAD 2002
21151 223007313X PM25-PRI 0.87 ON-ROAD 2002
21155 223007231T PM25-PRI 9.65397e-05 ON-ROAD 2002
21157 220107019X PM25-PRI 0.09 ON-ROAD 2002
21159 220107015B PM25-PRI 0.0043896461 ON-ROAD 2002
21161 223007221B PM25-PRI 0.0007779602 ON-ROAD 2002
21163 223000121B PM25-PRI 0.0002355977 ON-ROAD 2002
21165 223007519B PM25-PRI 0.0002073063 ON-ROAD 2002
21169 223007117X PM25-PRI 0.04 ON-ROAD 2002
21169 223007217T PM25-PRI 0.0009081996 ON-ROAD 2002
21169 223007221B PM25-PRI 0.0009090905 ON-ROAD 2002
21171 223007117X PM25-PRI 0.05 ON-ROAD 2002
21171 223007221X PM25-PRI 0.02 ON-ROAD 2002
21171 223007519X PM25-PRI 0.06 ON-ROAD 2002
21173 220107017B PM25-PRI 0.0079618048 ON-ROAD 2002
21173 223006031X PM25-PRI 0.0027642391 ON-ROAD 2002
21173 223007229X PM25-PRI 0.02 ON-ROAD 2002
21179 223007327X PM25-PRI 0.21 ON-ROAD 2002
21179 223007421T PM25-PRI 0.01 ON-ROAD 2002
21193 220107033B PM25-PRI 0.0010306959 ON-ROAD 2002
21195 223006033X PM25-PRI 0.0015675843 ON-ROAD 2002
21195 223007113B PM25-PRI 0.01 ON-ROAD 2002
21205 223000131T PM25-PRI 1.45656e-05 ON-ROAD 2002
21211 223000131X PM25-PRI 0.0035058534 ON-ROAD 2002
21211 223007111X PM25-PRI 0.3 ON-ROAD 2002
21213 220107033B PM25-PRI 0.0014943329 ON-ROAD 2002
21213 220108031X PM25-PRI 0.0004458425 ON-ROAD 2002
21215 220100117X PM25-PRI 0.22 ON-ROAD 2002
21217 220102033T PM25-PRI 0.0060315327 ON-ROAD 2002
21217 220107033B PM25-PRI 0.0018868669 ON-ROAD 2002
21223 220100115X PM25-PRI 0.07 ON-ROAD 2002
21223 220104021B PM25-PRI 0.0074007288 ON-ROAD 2002
21229 223007415X PM25-PRI 0.69 ON-ROAD 2002
21231 220100117T PM25-PRI 0.05 ON-ROAD 2002
21231 220108019B PM25-PRI 0.0004395852 ON-ROAD 2002
21231 223007517X PM25-PRI 0.16 ON-ROAD 2002
21235 220108027B PM25-PRI 0.0007573424 ON-ROAD 2002
21237 223007413T PM25-PRI 0.01 ON-ROAD 2002
21239 220100127T PM25-PRI 0.06 ON-ROAD 2002
21239 223007327B PM25-PRI 0.0033356053 ON-ROAD 2002
22001 220107011X PM25-PRI 0.55 ON-ROAD 2002
22001 220107029B PM25-PRI 0.0067835556 ON-ROAD 2002
22001 223007123T PM25-PRI 0.0007031101 ON-ROAD 2002
22003 223007315T PM25-PRI 0.0037255987 ON-ROAD 2002
22005 220100115X PM25-PRI 0.3 ON-ROAD 2002
22005 223007129X PM25-PRI 0.12 ON-ROAD 2002
22007 223007119T PM25-PRI 0.0003065913 ON-ROAD 2002
22009 220102033B PM25-PRI 0.0069903088 ON-ROAD 2002
22009 223007131T PM25-PRI 0.0001174789 ON-ROAD 2002
22011 223000133B PM25-PRI 1.93884e-05 ON-ROAD 2002
22011 223007415T PM25-PRI 0.05 ON-ROAD 2002
22015 223000117X PM25-PRI 0.02 ON-ROAD 2002
22015 223007423T PM25-PRI 0.11 ON-ROAD 2002
22017 220107015B PM25-PRI 0.02 ON-ROAD 2002
22021 220107017T PM25-PRI 0.0037527696 ON-ROAD 2002
22023 223007415B PM25-PRI 0.01 ON-ROAD 2002
22029 223007321B PM25-PRI 0.0020779181 ON-ROAD 2002
22033 220108013X PM25-PRI 0.0065596334 ON-ROAD 2002
